"mu[1,1]","mu[2,1]","mu[3,1]","mu[4,1]","mu[1,2]","mu[2,2]","mu[3,2]","mu[4,2]","mu[1,3]","mu[2,3]","mu[3,3]","mu[4,3]","omega[1,1]","omega[2,1]","omega[3,1]","omega[4,1]","omega[1,2]","omega[2,2]","omega[3,2]","omega[4,2]","omega[1,3]","omega[2,3]","omega[3,3]","omega[4,3]","sd[1,1]","sd[2,1]","sd[3,1]","sd[4,1]","sd[1,2]","sd[2,2]","sd[3,2]","sd[4,2]","sd[1,3]","sd[2,3]","sd[3,3]","sd[4,3]"
1.06498836711117,1.03987277351423,16.7252243770991,1.04701993241116,56.4619025353041,52.0322403822502,67.8596177913889,55.0480018387552,76.6833703062781,73.882358874018,81.7289824909474,75.9648225776345,0.0151957132286899,0.0218137802528088,0.0433228290793794,0.0106746319121809,0.421017243615911,0.52400518222693,0.596254676758506,0.333275288822482,0.563787043155399,0.454181037520261,0.360422494162115,0.656050079265338,0.388250457030763,0.374981496379889,17.2045734873353,0.398722667936782,15.3886017747811,16.5480420468785,9.16745765552062,14.5840956459444,6.07065578166762,6.88352561923246,2.80983349525383,6.1583322454721
0.963767048816637,1.04283249904133,16.6463982983858,1.07339489599199,56.6283952242037,52.98508840628,67.8967776920547,54.430228743923,76.2494322093216,74.6508766202126,81.4066361042803,75.5606666489976,0.0144051208637079,0.0217046304079093,0.031246754027596,0.0148725558584872,0.424371275544128,0.513459390310265,0.55745651049091,0.287128557785543,0.561223603592164,0.464835979281826,0.411296735481494,0.69799888635597,0.35001809355541,0.356474196754393,15.5003442650106,0.317810844009892,15.5012392241329,17.077251412862,9.4044347982729,14.4581313023666,6.22031027973326,6.91220362814551,2.97369113543365,6.58111562828572
1.15756362906514,1.01860451360979,16.2421870291931,0.977189460959938,57.1341713982216,52.7585609335876,67.8509250710748,54.3454877314974,76.7516822017472,74.1331763278145,81.2708319549993,75.590210389479,0.0175716097348085,0.0231106864659842,0.0418425524854457,0.0100854058445576,0.453611998311285,0.508542149576943,0.531887999784693,0.304286373393569,0.528816391953906,0.468347163957073,0.426269447729862,0.685628220761873,0.451027790381111,0.362541687023138,16.4998231424323,0.570226736104579,15.5367836857007,16.3286565869746,9.1746761476966,15.0505322888599,5.99272160423096,7.01314919404953,2.83885275786225,6.62563813220005
1.08386643043295,1.00184540584612,16.3388372970849,1.00686275449732,56.7929600343502,52.7210102827507,68.0515123426087,54.0376972199017,76.8466616593934,75.071901254817,81.2213096686439,75.8839583177815,0.0217524290152833,0.0249759123800257,0.0587209582375264,0.00945504162123143,0.416289410699301,0.525989029873967,0.553333287684955,0.319844436062668,0.561958160285416,0.449035057746008,0.387945754077519,0.670700522316101,0.359042511617995,0.369775061825797,18.6618473924119,0.444778338695356,14.4686389118995,15.9428929635937,9.47933094029414,16.0183073066301,5.98531151005859,6.6084317017273,2.96601910093213,6.39678428637211
0.993654007351057,0.941343984883491,15.912503447386,1.08159825335579,57.2763378932214,52.7975203232462,67.8586761516848,54.4093128978184,76.830998259878,75.1995003136731,81.1334956516368,75.6364777879377,0.0170959418832155,0.0136696438004979,0.0411170060594264,0.00975712817554635,0.418157019289074,0.52647353215688,0.578518146269828,0.302897567925448,0.564747038827711,0.459856824042622,0.380364847670745,0.687345303899006,0.448378754388752,0.41039691845983,15.7155410777602,0.53103963448662,15.4159268362843,15.4695596984037,8.61806596914034,15.4946776723402,6.04682905911415,6.30424028036342,2.88997176657554,6.18466241185368
1.07242106742874,1.04234253313497,15.809059642716,1.14327281697528,56.957734304956,52.0936586830515,67.8031387635889,55.585833939842,77.0262315092643,74.797338039707,81.4598650894335,75.5863959328884,0.0213960535636903,0.0229307175055352,0.0365484893790107,0.0140720926096984,0.434229354296376,0.516033532931424,0.537404514434559,0.321963591346943,0.544374592139933,0.46103574956304,0.42604699618643,0.663964316043358,0.368252131592364,0.387307495994076,14.4453739286452,0.419997998567271,14.791422739306,15.9689664080071,9.06183490178837,15.8573292816236,5.75096854302146,6.32368123417937,2.73928987843542,6.53018048125325
1.08287274276182,0.903383267240749,15.5890276902988,1.0089474543531,57.6014157795254,52.9221338500802,68.2398119112996,55.3273629037183,76.6644447214185,74.8152554177255,81.212564599562,75.498555484851,0.0162240257945117,0.0191737544102215,0.0451191733799173,0.0113722968483416,0.435774738979371,0.517771761739598,0.584370105368991,0.293135739002883,0.548001235226117,0.463054483850181,0.370510721251092,0.695491964148776,0.402192705893766,0.346263245905276,17.8746590787797,0.560819058765445,15.0814503666506,16.1539446871157,9.05524213163606,14.9345204315151,5.85094756000738,6.86917512747814,2.84671076428349,6.14194397949405
1.08949635779842,1.00144765712455,15.5027109624895,1.21695839183136,57.1450927342909,53.3727261873598,68.2903582063893,55.2982691032489,77.3839830577174,74.3066053456847,81.2053454836584,76.4015003759906,0.020047451489471,0.0231554062835945,0.0380222873459669,0.00966797425440714,0.460088264036853,0.532857908637141,0.564960498246069,0.308392006145412,0.519864284473676,0.443986685079264,0.397017214407964,0.681940019600181,0.447857374527023,0.340289332595726,17.0997436563401,0.440840492802008,14.9892986250251,16.0016218042839,9.03246210323654,14.4477376527193,5.66423603660122,6.34764120115646,3.00689934298239,6.26344591548155
1.06500868018832,1.05970994587091,16.1350011313167,0.949595854342744,57.0036618108573,52.8401158266833,69.0036947091141,54.7124511119329,76.4648174657426,73.8649519554201,81.0616127021426,76.1085030327833,0.0202906424094322,0.0184729218802654,0.0456114107904597,0.00699160396701439,0.426674298448553,0.503448707674337,0.572342170774909,0.337508138743735,0.553035059142014,0.478078370445398,0.382046418434632,0.65550025728925,0.392519734289281,0.340033363470381,17.3329108026331,0.397142618312305,14.7385558465541,16.522058355333,9.20758398238216,16.0613409529517,5.95611897135095,6.61514105893404,3.01136402267718,6.31409147158965
1.27867586341,1.03779438156128,15.9774402601799,0.95309621787998,57.0928326113022,52.5485247168043,68.735697901176,55.4468694346112,76.9113988088072,74.7921995935043,81.2078587695793,75.49785706901,0.0152395729259162,0.0192955693876776,0.0457545409908374,0.00745685253344527,0.455314409226462,0.517321653302895,0.579247727976591,0.316719926683047,0.529446017847622,0.463382777309427,0.374997731032571,0.675823220783508,0.587380418993436,0.468913783013495,19.2398840221594,0.499817170705176,14.9568832708427,15.4772297672735,9.05043315918379,15.6399599182621,5.61338914851326,6.6358960904471,2.9551914905985,6.32514401141285
1.21230179862883,1.01149551893999,16.0963761531714,1.00238080909885,56.7500065207558,52.2083139485478,68.2235827088029,56.0554487352919,76.8331165522729,74.6977617849064,81.5783942671294,75.8785388233862,0.0169324267526488,0.0240194882355839,0.0395022952163483,0.010110590072107,0.422817521043524,0.498796425317767,0.569362172521768,0.338631298470728,0.560250052203828,0.477184086446649,0.391135532261884,0.651258111457165,0.542183037684194,0.334775351345859,17.7790969042273,0.360286613737055,15.2700020948322,14.9898693381188,9.14584369105874,15.3348063685554,5.82619423579802,6.852695798019,2.77103018282553,6.21356425009828
0.979129383658373,1.05613665848179,15.840597907937,0.941160726510825,55.767994127339,52.2031619003752,68.4848091014345,55.3877908059898,77.069786899183,74.6632266669142,81.5431771055074,75.9089377378825,0.022266685889079,0.0199388991462511,0.0441793325186693,0.014293989801479,0.451390267565555,0.484801100051452,0.577141119676984,0.323763395509787,0.526343046545366,0.495260000802297,0.378679547804347,0.661942614688734,0.361225191841538,0.337320473901982,16.5238130365142,0.43959679636214,14.6357163696466,15.7924775639593,9.24499387835553,15.1390213421664,5.57918097188222,6.58767412225969,2.84424446560033,6.14242831386874
1.14612171809794,1.08019521753912,15.845230090638,0.953522917184377,56.6292670049066,52.3159771918239,68.7028855180947,55.4173812596093,77.258275741486,74.1200416772339,81.6181425170557,75.4563194916657,0.0184754047148089,0.0195785147546438,0.0499160367204262,0.013757797030836,0.428369299669477,0.522022138050692,0.584451995086078,0.331231866186684,0.553155295615714,0.458399347194664,0.365631968193496,0.65501033678248,0.341963788680109,0.275728236491917,20.4670531323145,0.537880648867283,14.5980263395767,16.171907418687,8.94441630909083,15.7528809915079,5.742626182234,7.179028870531,2.89056448320972,6.50109373096015
1.06443872298831,0.925520192702703,16.3714172559409,0.973841343153743,56.9679385143453,52.5514679663187,69.0008191018328,55.0592842534139,76.0251915859792,73.8127411607299,81.7122122927452,75.4575313956555,0.0166518307057126,0.0151522488456848,0.0512388199738067,0.00843551353890865,0.416865076831139,0.481822909877767,0.601867726758654,0.319447742033219,0.566483092463149,0.503024841276548,0.346893453267539,0.672116744427872,0.333281476793465,0.372649136001623,16.6461731393325,0.416058205751407,15.4333286757807,16.1921818508846,9.42709321752176,15.1376261246437,6.55290042723508,6.91568816062321,2.68106102062474,6.56652367507551
0.952340443297029,1.02161069567374,16.9806368615843,0.905146982733362,56.6852590298429,52.1211418365445,69.0631493989928,55.2300444686937,75.9636596199514,74.09651519577,81.4849637220451,75.7349257500079,0.0151861535139298,0.0179716059767733,0.0509402869716603,0.0119008748451364,0.396190137818808,0.472070611835288,0.579688090606453,0.319425261307169,0.588623708667262,0.509957782187939,0.369371622421887,0.668673863847695,0.358926146003338,0.390913713985688,20.5403119574872,0.528391323984146,16.013175858098,16.2683960789777,8.95644966121818,16.1635804156953,6.36983475637114,6.88713279861464,2.90984357272225,6.36086058533808
1.06834531618563,1.06245226082737,17.0196965726409,1.09484286152943,56.9938000907461,52.3219687599264,69.0335580021341,54.5308311066723,76.2264870902121,73.7226292662086,81.3254621983545,75.6719633882826,0.018751355996456,0.0257196558486842,0.0553773133285105,0.0107748919428289,0.380795956824138,0.470010325078118,0.572803935797619,0.318160809777962,0.600452687179406,0.504270019073198,0.37181875087387,0.671064298279209,0.315466600785014,0.342945570267908,18.227257826258,0.408352729139085,16.0164620533793,16.7483271202108,9.22047805422689,15.336879363956,6.5089996922975,7.14480270471868,2.72976296184123,6.35495705665484
1.01442295871699,0.987755291001699,17.1386956375583,1.02957275704178,55.6992806232645,51.9253968227186,69.243399546132,55.2121962161896,76.599136394836,74.0253733194532,81.6622698817613,75.8813987946031,0.019569284373191,0.018674906061137,0.0669996269452462,0.00930895051251433,0.395283311026674,0.458705846182244,0.574027514511192,0.332850907797481,0.585147404600135,0.522619247756619,0.358972858543561,0.657840141690005,0.469596322297653,0.397876376545963,19.0327836695858,0.499874350727809,14.7631184998362,16.1643977412115,8.89576926064619,15.1056992536389,6.24508668606275,7.1556127279358,2.66939233232047,6.2667560148281
1.15064655222841,1.007709190417,17.3550387072608,1.04304704977407,56.6781179293598,51.3096690883524,69.3193470549227,55.4733147583869,76.4256769373054,73.860346043936,81.5270249496197,76.2980799473924,0.0175433041916275,0.0172554731248025,0.0547521618223198,0.0135067221571978,0.389366178619234,0.468694596936499,0.599940314879053,0.319846491029162,0.593090517189139,0.514049929938699,0.345307523298627,0.66664678681364,0.462979784330302,0.333460252656748,19.2935157625408,0.525105278469591,15.0447839985443,16.5330295661942,8.80482159072545,15.3834609167789,6.34268198882721,7.44365483091505,2.64488072480338,5.97068878426073
1.07873780913477,0.946807754547404,17.50195780603,1.2021761294917,56.5351069572024,51.6511409695475,69.3072327996955,55.1668358178,76.6280154491324,73.4065325640769,81.9458305184477,76.2151204848434,0.0185271388998517,0.0207468869653661,0.054870994707566,0.0104790491706715,0.411194682143882,0.46028130719659,0.579399243226632,0.338878580938406,0.570278178956266,0.518971805838044,0.365729762065802,0.650642369890923,0.334118897398375,0.367469250356166,19.4880254745204,0.366802630670528,15.9263314478051,15.9990002741905,8.65749657963214,15.5123754026309,6.37667732331262,7.87646769103701,2.67653068533543,5.85559290562639
1.01272208906916,1.04978247043833,17.444927331482,1.08403766137816,56.4570284151626,51.8267355567201,68.9333474763556,54.7473553226137,76.6808886814925,73.8340697186112,81.5654263883425,75.9072213019548,0.0189916573596256,0.027386712372423,0.054431702809353,0.0126476644172423,0.393995235159294,0.455221668162118,0.581116067122283,0.294211153110918,0.587013107481081,0.517391619465459,0.364452230068364,0.69314118247184,0.323412911075771,0.5048557868492,18.6502896172637,0.395219939412516,15.1243732728953,15.1188758024114,8.76448470964822,14.2029027462139,5.95348593046497,7.51516609293831,2.66750165311631,6.44070995843955
1.05635799846477,1.02526290820214,17.5828039722372,0.914253357192876,56.9585754115033,51.1389838043843,69.1878887276412,53.9112663177509,76.2492210066195,73.8452563191414,81.3843976226227,75.6595072700346,0.0217744114953256,0.0189857660225404,0.0465537143580499,0.0126847911128446,0.390019353925673,0.475908343176598,0.580211469241454,0.289595838528725,0.588206234579001,0.505105890800862,0.373234816400496,0.69771937035843,0.352881640611011,0.364852719823864,18.6394072339838,0.417593020541227,15.841500292895,16.6354170131929,9.0135926516346,15.4925850480292,6.41962531266008,6.85988838249396,2.9838421637263,6.27996854914145
1.04672455039465,0.963996464703898,17.6010079440387,1.10132526715839,56.8482353406326,51.0061842390743,68.9875759491547,54.2139290958172,76.4851248013154,73.6331433964395,81.4427831914256,75.9474770530556,0.0205612514863263,0.0187826902264781,0.0493361674981521,0.0107300421130508,0.420280235325325,0.464346663044629,0.599819077996388,0.315413254099252,0.559158513188349,0.516870646728892,0.35084475450546,0.673856703787697,0.425413036149723,0.347422798568676,18.7569060280939,0.430504350355908,14.8396124477017,15.8603958022285,9.64447365737474,15.4107590840098,6.08792340274163,7.39923806876335,2.69797401477531,6.30168593663055
1.15393801765315,1.01003776030343,17.6959193435125,1.04104181543393,56.5160012120948,51.6795542635632,68.970822789627,54.8937935483733,76.5863655778716,73.5068149223079,81.6241188040668,75.8360468856213,0.0246518604186196,0.0174001289945469,0.045736706820724,0.0123941879853678,0.402788885947692,0.466512122179734,0.590731754096347,0.306850766151923,0.572559253633688,0.516087748825719,0.36353153908293,0.680755045862709,0.405078623374673,0.375199052444027,17.3461592926775,0.476902559754721,14.3973833196199,16.1099377579619,9.10434291099815,15.3431923845291,5.98158291714715,7.47187018697552,2.63492272523292,6.47287637414221
1.04906799341316,1.08301861742515,17.7738304238258,1.0495547850703,57.298600279864,52.2900419699291,68.6931656847101,54.7931021494781,77.2387487456311,73.6270684078721,81.3558813527465,75.8341961002683,0.0118430574214309,0.0263791100679913,0.0386763593792071,0.0103586530363351,0.429783221709701,0.470231796104396,0.580766615696155,0.332721590587491,0.558373720868868,0.503389093827613,0.380557024924637,0.656919756376174,0.391255458599034,0.382506083492747,17.4900656436422,0.506145109903768,15.5789598503096,16.3059382638577,9.34637167626311,17.2772133293147,5.9849907466279,7.14646590508916,2.99005484214825,6.39319053153594
1.09894712241443,1.02446368537678,17.9387250896588,1.22671169796425,57.3975269311496,53.0493069378186,69.0177363657069,56.2551094968753,77.0287923404842,73.6070527550116,81.6084080539951,76.1799373011378,0.014184952447042,0.0219337460234938,0.0561047425675217,0.0116249084721614,0.43907893488323,0.500281853402324,0.593782277474117,0.337993333407121,0.546736112669727,0.477784400574182,0.350112979958361,0.650381758120718,0.376746018748895,0.311374232167472,16.9223274636671,0.478009883594052,14.3325360083213,16.5961248590852,9.15977190762863,15.6039437826852,5.58814469870788,7.06729508318985,2.66199776680373,6.32747525490698
1.1783611638554,1.02486644465577,17.8402533572997,0.912330077151345,57.2124520798727,52.9369865429273,69.3698451921283,55.7097037135576,77.1989784284349,74.0779883310081,81.524722025076,76.2106755935544,0.0197291931566797,0.0151339045768391,0.0477731784427064,0.0121067637353762,0.422812916526127,0.498137731529665,0.61663475527132,0.31409730620504,0.557457890317193,0.486728363893496,0.335592066285974,0.673795930059584,0.513664537954518,0.285417329226372,18.1800635219715,0.523040645015773,15.005934122569,16.0367655766207,8.88259261956332,15.3459293828959,5.57553078131297,6.99696699140858,2.92810931826398,6.21577456742901
1.01823804772508,0.869807646050356,17.7736415571891,1.03666135230808,56.9206775056728,52.8160675957464,69.125873418584,55.5421238611796,77.0572652658698,74.5975490933209,81.5789254292326,76.1657646273372,0.0131851311918392,0.0234409508324132,0.0568027005405662,0.00847211460499736,0.463923886737321,0.534322682975163,0.574995556224098,0.348758717364665,0.52289098207084,0.442236366192424,0.368201743235335,0.642769168030338,0.422484495215384,0.315004680942297,19.3858393507905,0.621769150603436,14.6681973488057,16.3396447603434,8.84328552128574,15.0271692136914,5.68751600606516,6.48428112320474,2.55829834398995,6.06579329765047
