"","age","race_gender","survival"
"214",53,"white_female",0.94568
"215",53,"black_male",0.76503
"216",53,"black_female",0.88453
"217",54,"white_male",0.8881
"218",54,"white_female",0.94161
"219",54,"black_male",0.75268
"220",54,"black_female",0.87754
"221",55,"white_male",0.88068
"222",55,"white_female",0.93713
"223",55,"black_male",0.73983
"224",55,"black_female",0.87
"225",56,"white_male",0.8725
"226",56,"white_female",0.93222
"227",56,"black_male",0.72649
"228",56,"black_female",0.8619
"229",57,"white_male",0.86352
"230",57,"white_female",0.92684
"231",57,"black_male",0.71262
"232",57,"black_female",0.85321
"233",58,"white_male",0.8537
"234",58,"white_female",0.92096
"235",58,"black_male",0.69817
"236",58,"black_female",0.84381
"237",59,"white_male",0.84299
"238",59,"white_female",0.91455
"239",59,"black_male",0.68308
"240",59,"black_female",0.83358
"241",60,"white_male",0.83135
"242",60,"white_female",0.90756
"243",60,"black_male",0.6673
"244",60,"black_female",0.82243
"245",61,"white_male",0.81873
"246",61,"white_female",0.89995
"247",61,"black_male",0.65083
"248",61,"black_female",0.81029
"249",62,"white_male",0.80511
"250",62,"white_female",0.89169
"251",62,"black_male",0.63368
"252",62,"black_female",0.79719
"253",63,"white_male",0.79052
"254",63,"white_female",0.88275
"255",63,"black_male",0.61584
"256",63,"black_female",0.78323
"257",64,"white_male",0.77501
"258",64,"white_female",0.87312
"259",64,"black_male",0.59732
"260",64,"black_female",0.76858
"261",65,"white_male",0.7586
"262",65,"white_female",0.86278
"263",65,"black_male",0.57813
"264",65,"black_female",0.7533
"265",66,"white_male",0.74131
"266",66,"white_female",0.85169
"267",66,"black_male",0.55829
"268",66,"black_female",0.73748
"269",67,"white_male",0.72309
"270",67,"white_female",0.8398
"271",67,"black_male",0.53783
"272",67,"black_female",0.72104
"273",68,"white_male",0.70383
"274",68,"white_female",0.82702
"275",68,"black_male",0.51679
"276",68,"black_female",0.70393
"277",69,"white_male",0.68339
"278",69,"white_female",0.81324
"279",69,"black_male",0.4952
"280",69,"black_female",0.68604
"281",70,"white_male",0.66166
"282",70,"white_female",0.79839
"283",70,"black_male",0.47312
"284",70,"black_female",0.6673
